                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0774,                 7.0935,                 0.4249,                0.88868,                 1.1529,                0.65624,                0.71012,                0.62493,                0.35851,                0.05649,                0.03988,                0.00715,                 0.0009,                 1.4497,                 7.8143,                0.46827,                 1.0918,                 1.2812,              0.0012407,              0.0012407,              0.0012407
                     33,                 1.0869,                 7.0949,                0.42424,                0.90449,                 1.1563,                0.66087,                0.69172,                0.61696,                0.35769,                0.08682,                0.06288,                0.01695,                0.00227,                 1.4512,                 7.7288,                0.46308,                 1.0887,                 1.3066,              0.0012269,              0.0012269,              0.0012269
                     34,                 1.0784,                 7.0316,                0.42508,                0.89829,                 1.1468,                0.64616,                0.73383,                0.64282,                0.38727,                0.05671,                0.06288,                0.01073,                0.00126,                 1.3801,                 7.5301,                0.45893,                 1.0394,                 1.2102,              0.0012132,              0.0012132,              0.0012132
                     35,                 1.0677,                  7.012,                0.42279,                0.89217,                 1.1458,                0.69567,                0.72086,                0.63573,                0.37363,                  0.094,                0.06748,                0.01464,                0.00165,                 1.4426,                 7.5157,                0.45985,                 1.0263,                  1.262,              0.0011994,              0.0011994,              0.0011994
                     36,                 1.0693,                 7.0176,                0.42394,                0.88965,                 1.1456,                0.65988,                0.72699,                0.62761,                0.36223,                0.09367,                0.06442,                0.01905,                0.00246,                 1.4423,                 7.5421,                 0.4533,                 1.0519,                 1.2648,              0.0011857,              0.0011857,              0.0011857
                     37,                 1.0708,                 7.0203,                0.42218,                0.90344,                 1.1546,                0.70374,                0.69224,                0.63805,                0.37837,                0.07972,                0.06442,                0.01143,                0.00151,                 1.4101,                 7.4924,                0.46119,                 1.0432,                 1.2644,              0.0011719,              0.0011719,              0.0011719
                     38,                  1.039,                 6.9253,                0.42007,                0.87427,                 1.1319,                0.69166,                0.71562,                0.64438,                0.39571,                0.07668,                0.06748,                0.01525,                0.00194,                 1.3868,                 7.5521,                0.45501,                0.99778,                 1.2189,              0.0011581,              0.0011581,              0.0011581
                     39,                 1.0563,                 6.9843,                0.42024,                0.88694,                 1.1414,                0.69157,                0.71779,                0.64118,                 0.3869,                0.06725,                0.06595,                0.01258,                0.00164,                 1.3908,                 7.4778,                0.44831,                 1.0307,                 1.2358,              0.0011444,              0.0011444,              0.0011444
                     40,                 1.0381,                 6.9318,                0.42132,                0.87307,                  1.129,                0.65675,                0.72393,                0.63152,                0.37568,                0.09789,                0.06135,                0.01447,                0.00177,                 1.4147,                 7.4648,                0.45183,                 1.0594,                 1.2644,              0.0011306,              0.0011306,              0.0011306
                     41,                 1.0364,                 6.9317,                 0.4195,                0.87169,                 1.1328,                0.67952,                0.72853,                0.63201,                0.38331,                0.11085,                0.08742,                0.02064,                0.00257,                 1.3743,                  7.381,                0.45123,                 1.0348,                  1.229,              0.0011169,              0.0011169,              0.0011169
